scenario,seed,window_start,window_end,attack_label,legal_mbps,aggregate_mbps,attacker_mbps,burst_rate,burst_loss_rate,rate_cv,active_sources
S1,606,2.75,3.0,1,45.1176,151.6456,106.528,1000.0,0.0,1.3027361639927428e-16,1
S1,606,3.0,3.25,1,45.133792,151.661792,106.528,1000.0,0.004,1.3027361639927428e-16,1
S1,606,3.25,3.5,1,45.129664,151.657664,106.528,1000.0,0.004,1.3027361639927428e-16,1
S1,606,3.5,3.75,1,45.12464,151.65264,106.528,1000.0,0.0,1.3027361639927428e-16,1
S1,606,3.75,4.0,1,45.083936,151.611936,106.528,1000.0,0.0,1.3027361639927428e-16,1
S1,606,4.0,4.25,1,45.13712,151.66512,106.528,1000.0,0.004,1.3027361639927428e-16,1
S1,606,4.25,4.5,1,45.099904,151.627904,106.528,1000.0,0.004,1.3027361639927428e-16,1
S1,606,4.5,4.75,0,69.974112,69.974112,0.0,0.0,0.0,0.0,0
S1,606,4.75,5.0,0,69.983872,69.983872,0.0,0.0,0.0,0.0,0
S1,707,0.0,0.25,0,69.98224,69.98224,0.0,0.0,0.0,0.0,0
S1,707,0.25,0.5,0,69.991328,69.991328,0.0,0.0,0.0,0.0,0
S1,707,0.5,0.75,0,70.060672,70.060672,0.0,0.0,0.0,0.0,0
S1,707,0.75,1.0,0,69.954656,69.954656,0.0,0.0,0.0,0.0,0
S1,707,1.0,1.25,1,46.155424,147.259424,101.104,1000.0,0.0,1.3726250007695186e-16,1
S1,707,1.25,1.5,1,46.1704,147.2744,101.104,1000.0,0.012,1.3726250007695186e-16,1
S1,707,1.5,1.75,1,46.13344,147.23744,101.104,1000.0,0.0,1.3726250007695186e-16,1
S1,707,1.75,2.0,1,46.12096,147.22496,101.104,1000.0,0.0,1.3726250007695186e-16,1
S1,707,2.0,2.25,1,46.167744,147.271744,101.104,1000.0,0.004,1.3726250007695186e-16,1
S1,707,2.25,2.5,1,46.107968,147.211968,101.104,1000.0,0.0,1.3726250007695186e-16,1
S1,707,2.5,2.75,1,46.128416,147.232416,101.104,1000.0,0.0,1.3726250007695186e-16,1
S1,707,2.75,3.0,1,46.173152,147.277152,101.104,1000.0,0.008,1.3726250007695186e-16,1
S1,707,3.0,3.25,1,46.089984,147.193984,101.104,1000.0,0.0,1.3726250007695186e-16,1
S1,707,3.25,3.5,1,46.148992,147.252992,101.104,1000.0,0.0,1.3726250007695186e-16,1
S1,707,3.5,3.75,1,46.17376,147.27776,101.104,1000.0,0.0,1.3726250007695186e-16,1
S1,707,3.75,4.0,1,46.107904,147.211904,101.104,1000.0,0.004,1.3726250007695186e-16,1
S1,707,4.0,4.25,1,46.167456,147.271456,101.104,1000.0,0.0,1.3726250007695186e-16,1
S1,707,4.25,4.5,1,46.110496,147.214496,101.104,1000.0,0.0,1.3726250007695186e-16,1
S1,707,4.5,4.75,0,70.032672,70.032672,0.0,0.0,0.0,0.0,0
S1,707,4.75,5.0,0,70.034848,70.034848,0.0,0.0,0.0,0.0,0
S1,808,0.0,0.25,0,69.973792,69.973792,0.0,0.0,0.0,0.0,0
S1,808,0.25,0.5,0,70.032768,70.032768,0.0,0.0,0.0,0.0,0
S1,808,0.5,0.75,0,70.012576,70.012576,0.0,0.0,0.0,0.0,0
S1,808,0.75,1.0,0,69.93376,69.93376,0.0,0.0,0.0,0.0,0
